BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Campus,47.51885,5,1.66,96.15,57952,Other,2005,DELRIDGE,-122.33421,1,Adult Education,75
Campus,47.52429,14,2.24,748.55,334368,Large Office,1980,GREATER DUWAMISH,-122.31234,2,Office,75
Campus,47.53493,1,34.09,16870.98,494835,Mixed Use Property,1992,GREATER DUWAMISH,-122.31788,3,Office,8
Campus,47.54134,3,4.45,101.5,22800,Other,1994,GREATER DUWAMISH,-122.30529,1,Manufacturing/Industrial Plant,75
Campus,47.54193,4,0.72,107.29,149856,University,2007,GREATER DUWAMISH,-122.32404,2,College/University,75
Campus,47.547,27,1.96,866.23,441071,University,1970,DELRIDGE,-122.35307,2,College/University,75
Campus,47.57049,5,1.29,179.55,138907,Other,1989,GREATER DUWAMISH,-122.34857,2,Other,75
Campus,47.59042,10,1.75,405.05,230971,Other,1991,GREATER DUWAMISH,-122.32498,0,Other,75
Campus,47.60776,1,1.7,78.19,46100,K-12 School,1923,EAST,-122.32481,4,K-12 School,75
Campus,47.60805,1,1.99,98.28,49280,Mixed Use Property,1900,DOWNTOWN,-122.33978,2,Retail Store,75
Campus,47.60881,1,2.3,316.2,137400,Mixed Use Property,1908,DOWNTOWN,-122.34119,4,Retail Store,75
Campus,47.60895,1,8.62,218.79,25380,Restaurant,1912,DOWNTOWN,-122.34052,2,Restaurant,75
Campus,47.60918,1,0.58,26.34,45500,Low-Rise Multifamily,1942,DOWNTOWN,-122.34079,4,Multifamily Housing,75
Campus,47.61065,1,1.47,3243.48,2200000,University,1939,EAST,-122.31711,2,College/University,75
Campus,47.61137,4,2.97,639.39,215476,Other,1995,DOWNTOWN,-122.34947,3,Other,75
Campus,47.61229,3,1.62,418.9,258497,Mixed Use Property,1913,DOWNTOWN,-122.33903,10,Parking,75
Campus,47.62291,1,1.05,115.34,109794,K-12 School,1950,Central,-122.28879,1,K-12 School,87
Campus,47.62291,1,1.82,55.73,30562,K-12 School,2000,Central,-122.28879,2,K-12 School,69
Campus,47.62855,1,7.45,3995.45,535947,Other,1997,LAKE UNION,-122.33035,5,Other,75
Campus,47.65019,14,7.02,3768.66,537000,University,1945,MAGNOLIA / QUEEN ANNE,-122.36173,2,College/University,75
Campus,47.65561,23,2.17,565.55,260241,Other,1955,MAGNOLIA / QUEEN ANNE,-122.38063,1,Other,75
Campus,47.65644,111,1.2,11140.56,9320156,University,1900,NORTHEAST,-122.31041,0,College/University,75
Campus,47.687,5,9.43,202.65,21500,K-12 School,1989,NORTHEAST,-122.30013,3,K-12 School,44
Campus,47.69936,11,0.52,362.82,694072,University,1970,NORTHWEST,-122.33401,2,College/University,75
Multifamily HR (10+),47.5882,1,0.97,71.71,73898,High-Rise Multifamily,1971,GREATER DUWAMISH,-122.31551,15,Multifamily Housing,75
Multifamily HR (10+),47.59785,1,1.12,691.57,619416,High-Rise Multifamily,2014,DOWNTOWN,-122.33235,26,Multifamily Housing,89
Multifamily HR (10+),47.60021,1,1.3,96.59,74327,High-Rise Multifamily,1979,DOWNTOWN,-122.32672,12,Multifamily Housing,24
Multifamily HR (10+),47.60028,1,0.93,70.4,76094,High-Rise Multifamily,1973,DOWNTOWN,-122.32599,12,Multifamily Housing,40
Multifamily HR (10+),47.60042,1,0.19,18.34,97978,High-Rise Multifamily,1972,Central,-122.30931,10,Multifamily Housing,85
Multifamily HR (10+),47.60146,1,2.22,393.2,177364,High-Rise Multifamily,1908,DOWNTOWN,-122.33063,11,Multifamily Housing,75
Multifamily HR (10+),47.60154,1,1.17,105.97,90959,High-Rise Multifamily,2007,DOWNTOWN,-122.33121,13,Multifamily Housing,57
Multifamily HR (10+),47.60257,1,1.43,93.87,65535,High-Rise Multifamily,1906,DOWNTOWN,-122.33383,10,Multifamily Housing,75
Multifamily HR (10+),47.60336,1,0.63,123.15,194228,High-Rise Multifamily,2013,DOWNTOWN,-122.33615,16,Multifamily Housing,62
Multifamily HR (10+),47.60445,1,2.82,259.77,92183,High-Rise Multifamily,1967,EAST,-122.32171,11,Multifamily Housing,49
Multifamily HR (10+),47.60492,1,1.64,349.55,212938,High-Rise Multifamily,1967,EAST,-122.32532,17,Multifamily Housing,81
Multifamily HR (10+),47.60551,1,0.27,52,195788,High-Rise Multifamily,1983,DOWNTOWN,-122.33746,22,Multifamily Housing,55
Multifamily HR (10+),47.60634,1,1.33,225.66,170000,High-Rise Multifamily,2007,DOWNTOWN,-122.33184,42,Multifamily Housing,21
Multifamily HR (10+),47.60635,1,0.91,1148.5,1256335,High-Rise Multifamily,2000,DOWNTOWN,-122.33817,28,Multifamily Housing,42
Multifamily HR (10+),47.60668,1,0.9,567.6,629615,High-Rise Multifamily,2008,EAST,-122.32619,26,Multifamily Housing,15
Multifamily HR (10+),47.60742,1,7.63,2489.78,326516,Hotel,2008,DOWNTOWN,-122.33919,20,Hotel,3
Multifamily HR (10+),47.60759,1,0.71,235.32,332781,High-Rise Multifamily,2006,EAST,-122.32814,17,Multifamily Housing,1
Multifamily HR (10+),47.60805,1,0.59,91.53,154889,High-Rise Multifamily,1985,DOWNTOWN,-122.33978,13,Multifamily Housing,73
Multifamily HR (10+),47.60806,1,0.94,66.7,70939,High-Rise Multifamily,1984,DOWNTOWN,-122.34037,12,Multifamily Housing,75
Multifamily HR (10+),47.6085,1,0.89,295.38,333244,High-Rise Multifamily,1949,EAST,-122.32787,14,Multifamily Housing,71
Multifamily HR (10+),47.6087,1,0.62,136.07,220018,High-Rise Multifamily,1991,DOWNTOWN,-122.33884,24,Multifamily Housing,2
