BuildingType,ENERGYSTARScore,Electricity(kBtu),DefaultData,SourceEUI(kBtu/sf),SiteEUI(kBtu/sf),TotalGHGEmissions,SteamUse(kBtu),SiteEnergyUseWN(kBtu),YearBuilt,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),PropertyGFATotal,Electricity(kWh),NumberofFloors,PrimaryPropertyType,Longitude,NumberofBuildings,GHGEmissionsIntensity,Latitude,SiteEnergyUse(kBtu),NaturalGas(kBtu),NaturalGas(therms),LargestPropertyUseType
Campus,8,150476283,0,388.2000122,221.6999969,16870.98,0,471613856,1992,233.1000061,400.2999878,494835,44102076,3,Mixed Use Property,-122.31788,1,34.09,47.53493,448385312,297909000,2979090,Office
Campus,44,3307692,0,144.8999939,69.59999847,202.65,0,7109712.5,1989,73.90000153,149.5,21500,969429.1875,3,K-12 School,-122.30013,5,9.43,47.687,6689184,3381491,33814.91016,K-12 School
Campus,69,659450,0,100.8000031,53.09999847,55.73,0,1824440.125,2000,59.70000076,107.8000031,30562,193273.7969,2,K-12 School,-122.28879,1,1.82,47.62291,1622231.375,962781,9627.80957,K-12 School
Campus,75,358020,0,135.1999969,97.5,101.5,0,2660376.75,1994,116.6999969,155.3000031,22800,104929.7969,1,Other,-122.30529,3,4.45,47.54134,2222097.5,1864077,18640.76953,Manufacturing/Industrial Plant
Campus,75,1097533,0,101.1999969,47.20000076,78.19,548294.6875,2412536.25,1923,52.29999924,106.8000031,46100,321668.5,4,K-12 School,-122.32481,1,1.7,47.60776,2177064.75,531237,5312.370117,K-12 School
Campus,75,1474450,0,109.1999969,53.29999924,96.15,0,3347245.25,2005,57.79999924,113.8000031,57952,432136.6875,1,Other,-122.33421,5,1.66,47.51885,3091387.5,1616937,16169.37012,Adult Education
Campus,75,3202277,0,549.2000122,271.8999939,218.79,0,6868711.5,1912,270.6000061,545.2000122,25380,938533.8125,2,Restaurant,-122.34052,1,8.62,47.60895,6901554,3699277,36992.76563,Restaurant
Campus,75,3778355,0,267.5,85.19999695,26.34,0,3778355,1942,85.19999695,267.5,45500,1107372.375,4,Low-Rise Multifamily,-122.34079,1,0.58,47.60918,3778355,0,0,Multifamily Housing
Campus,75,4128496,0,290.8999939,110.3000031,98.28,0,5469793.5,1900,111,293,49280,1209992.875,2,Mixed Use Property,-122.33978,1,1.99,47.60805,5437110.5,1308614,13086.14063,Retail Store
Campus,75,4967236,0,113.6999969,42.29999924,107.29,0,6759240.5,2007,45.09999847,118.6999969,149856,1455813.5,2,University,-122.32404,4,0.72,47.54193,6335315.5,1368079,13680.79004,College/University
Campus,75,5130303,0,135.8000031,56.20000076,179.55,0,8551562,1989,61.29999924,142.6999969,138907,1503605.875,2,Other,-122.34857,5,1.29,47.57049,7837692.5,2707389,27073.88867,Other
Campus,75,10344729,0,306.6000061,122.8000031,316.2,0,14879755,1908,122.3000031,305,137400,3031866.75,4,Mixed Use Property,-122.34119,1,2.3,47.60881,14940504,4595774,45957.73828,Retail Store
Campus,75,13788853,0,248.8999939,110.5999985,639.39,0,24606366,1995,113.3000031,251.8000031,215476,4041281.75,3,Other,-122.34947,4,2.97,47.61137,24017770,10228916,102289.1641,Other
Campus,75,15419770,0,235.1000061,91,405.05,0,22230844,1991,96.19999695,242.1999969,230971,4519276,0,Other,-122.32498,10,1.75,47.59042,21022288,5602515,56025.15234,Other
Campus,75,16877013,0,214.6000061,77.30000305,418.9,3902781.25,21536130,1913,80.09999847,218,258497,4946369.5,10,Mixed Use Property,-122.33903,3,1.62,47.61229,20779796,0,0,Parking
Campus,75,22619097,0,266.7999878,169.6999969,3768.66,0,96775464,1945,181.3000031,278.8999939,537000,6629278,2,University,-122.36173,14,7.02,47.65019,90609640,67990538,679905.375,College/University
Campus,75,25314575,0,192.8000031,79.30000305,866.23,0,41151732,1970,85.19999695,202.6000061,441071,7419277.5,2,University,-122.35307,27,1.96,47.547,38301744,12987166,129871.6641,College/University
Campus,75,26894616,0,353.2000122,130.6999969,565.55,0,36034584,1955,138.5,374.5,260241,7882361,1,Other,-122.38063,23,2.17,47.65561,34012980,7118362,71183.61719,Other
Campus,75,33450832,0,161.1999969,53.79999924,362.82,0,37410800,1970,56.09999847,167,694072,9803878,2,University,-122.33401,11,0.52,47.69936,35891484,2440648,24406.47852,College/University
Campus,75,45321378,0,451.2000122,159.8999939,748.55,0,54136068,1980,161.8999939,453.2999878,334368,13282936,2,Large Office,-122.31234,14,2.24,47.52429,53466684,8145300,81453,Office
Campus,75,61672821,0,145,66.69999695,3243.48,0,123205560,1939,71.59999847,151.3000031,2200000,18075270,2,University,-122.31711,1,1.47,47.61065,114648520,52975694,529756.9375,College/University
Campus,75,64627449,0,509.3999939,245.1000061,3995.45,0,137106112,1997,255.8000031,515.5999756,535947,18941222,5,Other,-122.33035,1,7.45,47.62855,131373880,66746425,667464.25,Other
Campus,75,657074389,0,246.6000061,93.80000305,11140.56,84985240,0,1900,0,0,9320156,192577488,0,University,-122.31041,111,1.2,47.65644,873923712,0,0,College/University
Campus,87,1294767,0,56.20000076,30,115.34,0,3657784.25,1950,33.29999924,59.59999847,109794,379474.5,1,K-12 School,-122.28879,1,1.05,47.62291,3296526.25,2001759,20017.5918,K-12 School
Multifamily HR (10+),1,7107388,0,223.6999969,123.5,709.11,0,20611792,2000,130.3999939,230.8999939,207022,2083056.375,13,High-Rise Multifamily,-122.32556,1,3.43,47.61248,19526080,12418691,124186.9063,Multifamily Housing
Multifamily HR (10+),1,9534309,0,190.1999969,89.09999847,534.88,0,19058412,2004,92.5,191.1999969,248225,2794346,23,High-Rise Multifamily,-122.34287,1,2.15,47.61208,18353916,8819607,88196.07031,Multifamily Housing
Multifamily HR (10+),1,10429413,0,207.6000061,77.90000153,235.32,0,14132450,2006,81.59999847,215,332781,3056686,17,High-Rise Multifamily,-122.32814,1,0.71,47.60759,13491170,3061756,30617.56055,Multifamily Housing
Multifamily HR (10+),1,10615422,0,251.8000031,83.19999695,106.37,0,11498103,1982,85.19999695,257.8999939,185506,3111202.25,21,High-Rise Multifamily,-122.34339,1,0.57,47.61124,11224871,609448,6094.479492,Multifamily Housing
Multifamily HR (10+),2,8615277,0,163.6999969,57.59999847,136.07,0,10658889,1991,61.09999847,172.6000061,220018,2524993.25,24,High-Rise Multifamily,-122.33884,1,0.62,47.6087,10046434,1431156,14311.55957,Multifamily Housing
Multifamily HR (10+),3,24332652,0,279.6000061,142.6000061,2489.78,19654762,60202900,2008,145.1999969,280.7999878,326516,7131492.5,20,Hotel,-122.33919,1,7.63,47.60742,59107620,15120205,151202.0469,Hotel
Multifamily HR (10+),6,4065856,0,182.6999969,70.90000153,108.31,0,6026981.5,1981,76.69999695,199.5,78538,1191634.25,18,High-Rise Multifamily,-122.32601,1,1.38,47.61063,5571501.5,1505645,15056.4502,Multifamily Housing
Multifamily HR (10+),7,3641521,0,140,55.90000153,110.02,0,5558294.5,1969,59.40000153,150.8000031,146102,1067268.75,23,High-Rise Multifamily,-122.27624,1,0.75,47.63383,5235161.5,1593640,15936.40039,Multifamily Housing
Multifamily HR (10+),7,4875149,0,167.3000031,95.80000305,551.53,0,16130505,1981,105.6999969,179.6999969,190610,1428824.5,33,High-Rise Multifamily,-122.34456,1,2.89,47.61222,14619984,9744834,97448.33594,Multifamily Housing
Multifamily HR (10+),7,5732980,0,129.1000061,55.79999924,269.03,997348.1875,9953477,1994,57.90000153,131.3000031,191427,1680240.25,27,High-Rise Multifamily,-122.34264,1,1.41,47.61146,9593739,2863410,28634.10156,Multifamily Housing
Multifamily HR (10+),7,5882266,0,148.5,54.40000153,117.64,0,7920189,1974,58.90000153,161.6000061,169565,1723993.625,23,High-Rise Multifamily,-122.31882,1,0.69,47.66289,7325166,1442899,14428.99023,Multifamily Housing
Multifamily HR (10+),9,3742915,0,167.3999939,53.29999924,26.09,0,3994183,1979,56.90000153,178.6999969,70200,1096985.5,13,High-Rise Multifamily,-122.34716,1,0.37,47.61768,3742915,0,0,Multifamily Housing
Multifamily HR (10+),10,2718223,0,133.3000031,42.40000153,18.95,0,2959676,1982,46.20000076,145.1000061,76855,796665.5,17,High-Rise Multifamily,-122.32525,1,0.25,47.61056,2718223,0,0,NULL
Multifamily HR (10+),11,6014001,0,171.1000061,64.40000153,137.94,0,8499356,1970,70,187.8000031,179745,1762602.75,23,High-Rise Multifamily,-122.33263,1,0.77,47.61297,7821914,1807913,18079.12891,Multifamily Housing
Multifamily HR (10+),11,7616911,0,130.6999969,58.90000153,372.55,0,14869970,1982,64.30000305,137.6999969,231352,2232389,33,High-Rise Multifamily,-122.32263,1,1.61,47.61105,13631685,6014773,60147.72656,Multifamily Housing
Multifamily HR (10+),14,4312420,0,171,64.69999695,101.43,0,6040881.5,1972,69.09999847,182.8999939,93021,1263898.125,12,High-Rise Multifamily,-122.31043,1,1.09,47.61455,5656232,1343811,13438.10938,Multifamily Housing
Multifamily HR (10+),15,17592132,0,101.6999969,41.20000076,567.6,0,26781786,2008,42.5,103.0999985,629615,5155959,26,High-Rise Multifamily,-122.32619,1,0.9,47.60668,25970248,8378113,83781.13281,Multifamily Housing
Multifamily HR (10+),17,3971960,0,115.5,36.79999924,27.69,0,4419299.5,1970,40.90000153,128.5,97160,1164114.75,12,High-Rise Multifamily,-122.32444,1,0.28,47.62464,3971959.75,0,0,Multifamily Housing
Multifamily HR (10+),17,6353982,0,131.1000061,63.79999924,408.82,0,13993510,1999,67.5,134.8000031,219874,1862245.5,13,High-Rise Multifamily,-122.35376,1,1.86,47.61733,13217550,6863568,68635.67969,NULL
Multifamily HR (10+),18,3796986,0,158.8000031,50.59999847,26.47,0,3992223.5,1979,53.20000076,167,75070,1112832.875,10,High-Rise Multifamily,-122.33453,1,0.35,47.70451,3796986.5,0,0,Multifamily Housing
Multifamily HR (10+),18,4206839,0,166.6999969,53.09999847,29.33,0,4459113,1978,56.29999924,176.6999969,91600,1232953.875,13,High-Rise Multifamily,-122.3438,1,0.32,47.61498,4206839.5,0,0,Multifamily Housing
Multifamily HR (10+),20,6414247,0,128.6000061,64.5,458.44,0,14561657,2007,66.09999847,129.5,399935,1879908.375,11,High-Rise Multifamily,-122.33807,1,1.15,47.61921,14204281,7790033,77900.32813,Multifamily Housing
Multifamily HR (10+),21,2496807,0,118.5,37.70000076,17.41,0,2696894.5,1965,40.79999924,128,66150,731772.375,11,High-Rise Multifamily,-122.32442,1,0.26,47.62395,2496807.5,0,0,Multifamily Housing
Multifamily HR (10+),21,4534702,0,106.3000031,48.20000076,225.66,0,8880813,2007,52.20000076,110.0999985,170000,1329045.125,42,High-Rise Multifamily,-122.33184,1,1.33,47.60634,8188381,3653679,36536.78906,Multifamily Housing
